lemma	roleset	total	arg0(np)-v(v)-arg1(np)-arg2(pp)	arg0(np)-v(v)-arg2(np)-arg1(np)	arg0(np)-v(v)-arg1(np)-arg2(c("s", "vp"))	arg0(np)-v(v)-arg1(np)-arg2(vp)	arg0(np)-v(v)-arg1(np)-arg2(np)	arg0(np)-v(v)-arg2(pp)-arg1(np)	arg1(np)-arg0(np)-v(v)-arg2(np)	arg0(np)-v(v)-arg2(rp)-arg1(np)	arg0(np)-v(v)-arg1(np)-arg2(sbar)	arg1(np)-arg0(np)-v(v)-arg2(pp)	arg0(np)-v(v)-arg1(np)-arg2(rb)	arg0(np)-v(v)-arg1(np)-arg2(advp)	v(v)-arg1(np)-arg2(pp)-arg0(np)	arg0(np)-arg2(rb)-v(v)-arg1(np)	arg0(np)-v(v)-arg1(np)-arg2(rp)	arg0(np)-v(v)-arg1(c("np", "qp"))-arg2(pp)	arg0(np)-v(v)-arg1(np)-arg2(s)	arg2(pp)-arg0(np)-v(v)-arg1(np)	arg0(np)-v(v)-arg2(rb)-arg1(np)	arg0(np)-v(v)-arg1(np)-arg2(jj)	arg0(np)-v(v)-arg1(np)-arg2(c("sbar", "s", "vp"))	arg2(wrb)-arg0(np)-v(v)-arg1(np)	arg0(np)-v(v)-arg1(np)-arg2(c("sbar", "s"))	arg0(np)-v(v)-arg1(np)-arg2(adjp)	arg0(np)-v(v)-arg1(np)-arg2(v)	arg2(wp)-arg0(np)-v(v)-arg1(np)	arg2(np)-arg0(np)-v(v)-arg1(np)	arg0(np)-v(v)-arg1(np)-arg2(in)	arg0(np)-v(v)-arg1(c("np", "np"))-arg2(pp)	arg0(np)-arg1(np)-v(v)-arg2(pp)	arg0(np)-v(v)-arg2(in)-arg1(np)	arg0(np)-v(v)-arg1(np)-arg2(dt)	arg1(np)-arg0(np)-v(v)-arg2(c("s", "vp"))	arg2(c("s", "vp"))-arg0(np)-v(v)-arg1(np)	arg0(np)-arg2(pp)-v(v)-arg1(np)	arg0(np)-v(v)-arg2(np)-arg1(c("np", "qp"))	arg0(c("np", "np"))-v(v)-arg1(np)-arg2(pp)	arg0(np)-v(v)-arg2(prp)-arg1(np)	arg1(np)-arg0(np)-v(v)-arg2(c("s", "np"))	v(v)-arg2(np)-arg1(np)-arg0(np)	arg0(np)-v(v)-arg1(np)-arg2(rbr)	arg2(wdt)-arg0(np)-v(v)-arg1(np)	arg0(np)-arg2(np)-v(v)-arg1(np)	arg0(np)-arg2(wrb)-v(v)-arg1(np)	arg0(np)-v(v)-arg1(np)-arg2(to)	arg0(np)-v(v)-arg2(rp)-arg1(c("np", "qp"))	arg2(wp)-arg0(np)-v(v)-arg1(c("s", "np"))	v(v)-arg1(np)-arg2(c("s", "vp"))-arg0(np)	arg0(np)-v(v)-arg1(np)-arg2(jjr)	arg0(np)-v(v)-arg1(np)-arg2(ucp)	arg0(np)-v(v)-arg2(jj)-arg1(np)	arg1(np)-arg0(np)-v(v)-arg2(s)	arg2(np)-v(v)-arg0(np)-arg1(np)	arg0(c("np", "np"))-v(v)-arg1(np)-arg2(c("s", "vp"))	arg0(c("np", "np"))-v(v)-arg1(np)-arg2(np)	arg0(c("np", "np"))-v(v)-arg1(np)-arg2(vp)	arg0(c("np", "np"))-v(v)-arg2(pp)-arg1(np)	arg0(c("np", "np", "qp"))-v(v)-arg1(np)-arg2(pp)	arg0(np)-arg1(c("np", "np", "qp"))-v(v)-arg2(pp)	arg0(np)-arg1(c("np", "qp"))-v(v)-arg2(pp)	arg0(np)-arg1(np)-v(v)-arg2(np)	arg0(np)-arg2(rbr)-v(v)-arg1(np)	arg0(np)-arg2(whadvp)-v(v)-arg1(np)	arg0(np)-v(v)-arg1(c("np", "np"))-arg2(rb)	arg0(np)-v(v)-arg1(c("np", "qp"))-arg2(c("s", "vp"))	arg0(np)-v(v)-arg1(np)-arg2(c("np", "qp"))	arg0(np)-v(v)-arg1(np)-arg2(cd)	arg0(np)-v(v)-arg1(np)-arg2(nn)	arg0(np)-v(v)-arg1(np)-arg2(wdt)	arg0(np)-v(v)-arg2(c("np", "np"))-arg1(np)	arg0(np)-v(v)-arg2(nnp)-arg1(np)	arg0(np)-v(v)-arg2(pp)-arg1(c("np", "qp"))	arg0(np)-v(v)-arg2(to)-arg1(np)	arg0(np)-v(v)-arg2(v)-arg1(np)	arg1(c("np", "np"))-arg0(np)-v(v)-arg2(pp)	arg1(np)-arg0(np)-v(v)-arg2(advp)	arg1(np)-arg0(np)-v(v)-arg2(prp)	arg1(np)-arg0(np)-v(v)-arg2(rb)	arg1(np)-arg0(np)-v(v)-arg2(rp)	arg2(adjp)-arg0(np)-v(v)-arg1(np)	arg2(advp)-arg0(np)-v(v)-arg1(np)	arg2(nn)-arg0(np)-v(v)-arg1(np)	arg2(pp)-v(v)-arg0(np)-arg1(np)	arg2(whnp)-arg0(np)-v(v)-arg1(np)	v(v)-arg1(c("np", "qp"))-arg2(pp)-arg0(np)	v(v)-arg1(np)-arg2(rb)-arg0(np)	v(v)-arg2(rp)-arg1(np)-arg0(np)
abandon	abandon.02	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
abandon	abandon.03	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
absolve	absolve.01	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
absorb	absorb.01	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
accelerate	accelerate.01	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
accept	accept.01	7	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
accord	accord.01	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
accuse	accuse.01	101	100	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
accustom	accustom.01	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
acquire	acquire.01	7	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
