arg_struc_cxn	roleset
arg0(np)-v(v)-arg1(np)-arg2(pp)	force.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	connect.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	receive.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	draw.02
arg0(np)-v(v)-arg1(np)-arg2(pp)	lay.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	deal.02
arg0(np)-v(v)-arg1(np)-arg2(pp)	apply.03
arg0(np)-v(v)-arg1(np)-arg2(pp)	wrap.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	take.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	encourage.02
arg0(np)-v(v)-arg1(np)-arg2(pp)	praise.01
arg0(np)-v(v)-arg2(np)-arg1(np)	tell.01
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	cast.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	pay.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	expose.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	do.02
arg0(np)-v(v)-arg1(np)-arg2(pp)	compare.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	take.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	isolate.01
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	bring.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	designate.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	take.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	appoint.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	pay.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	give.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	connect.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	connect.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	brief.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	gain.02
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	use.01
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	sue.02
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	put.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	present.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	owe.01
arg0(np)-v(v)-arg2(np)-arg1(np)	ask.01
arg0(np)-v(v)-arg2(np)-arg1(np)	show.01
arg0(np)-v(v)-arg2(np)-arg1(np)	show.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	demand.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	bring.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	buy.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	steal.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	provide.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	introduce.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	do.02
arg0(np)-v(v)-arg1(np)-arg2(pp)	depict.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	get.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	import.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	get.01
arg0(np)-v(v)-arg2(np)-arg1(np)	provide.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	buy.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	secure.01
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	put.01
arg0(np)-v(v)-arg2(np)-arg1(np)	show.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	give.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	put.01
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	explain.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	keep.04
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	save.02
arg0(np)-v(v)-arg1(np)-arg2(pp)	contribute.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	infuse.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	thank.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	write.01
arg0(np)-v(v)-arg2(np)-arg1(np)	bring.01
arg0(np)-v(v)-arg2(np)-arg1(np)	bring.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	fill.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	stab.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	stab.01
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	throw.01
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01
arg0(np)-v(v)-arg2(np)-arg1(np)	show.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	take.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	keep.04
arg0(np)-v(v)-arg1(np)-arg2(pp)	take.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	take.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	take.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	take.01
arg0(np)-v(v)-arg2(np)-arg1(np)	show.01
arg0(np)-v(v)-arg2(np)-arg1(np)	show.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	spend.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	do.02
arg0(np)-v(v)-arg1(np)-arg2(pp)	put.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	stick.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	put.03
arg0(np)-v(v)-arg1(np)-arg2(pp)	join.04
arg0(np)-v(v)-arg1(np)-arg2(pp)	open.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	hear.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	stick.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	preclude.01
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	discuss.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	put.01
arg0(np)-v(v)-arg2(np)-arg1(np)	tell.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	comfort.01
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	throw.01
arg0(np)-v(v)-arg2(np)-arg1(np)	do.02
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	condemn.01
arg0(np)-v(v)-arg2(np)-arg1(np)	wish.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	share.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	put.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	put.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	thank.01
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	feel.01
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	put.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	shock.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	awe.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	put.01
