COLLOCATE	arg0.c..np....np....v.v..arg1.np..arg2.c..s....vp...	arg0.c..np....np....v.v..arg1.np..arg2.np.	arg0.c..np....np....v.v..arg1.np..arg2.pp.	arg0.c..np....np....v.v..arg1.np..arg2.vp.	arg0.c..np....np....v.v..arg2.pp..arg1.np.	arg0.c..np....np....qp....v.v..arg1.np..arg2.pp.	arg0.np..arg1.c..np....np....qp....v.v..arg2.pp.	arg0.np..arg1.c..np....qp....v.v..arg2.pp.	arg0.np..arg1.np..v.v..arg2.np.	arg0.np..arg1.np..v.v..arg2.pp.	arg0.np..arg2.np..v.v..arg1.np.	arg0.np..arg2.pp..v.v..arg1.np.	arg0.np..arg2.rb..v.v..arg1.np.	arg0.np..arg2.rbr..v.v..arg1.np.	arg0.np..arg2.whadvp..v.v..arg1.np.	arg0.np..arg2.wrb..v.v..arg1.np.	arg0.np..v.v..arg1.c..np....np....arg2.pp.	arg0.np..v.v..arg1.c..np....np....arg2.rb.	arg0.np..v.v..arg1.c..np....qp....arg2.c..s....vp...	arg0.np..v.v..arg1.c..np....qp....arg2.pp.	arg0.np..v.v..arg1.np..arg2.adjp.	arg0.np..v.v..arg1.np..arg2.advp.	arg0.np..v.v..arg1.np..arg2.c..np....qp...	arg0.np..v.v..arg1.np..arg2.c..s....vp...	arg0.np..v.v..arg1.np..arg2.c..sbar....s...	arg0.np..v.v..arg1.np..arg2.c..sbar....s....vp...	arg0.np..v.v..arg1.np..arg2.cd.	arg0.np..v.v..arg1.np..arg2.dt.	arg0.np..v.v..arg1.np..arg2.in.	arg0.np..v.v..arg1.np..arg2.jj.	arg0.np..v.v..arg1.np..arg2.jjr.	arg0.np..v.v..arg1.np..arg2.nn.	arg0.np..v.v..arg1.np..arg2.np.	arg0.np..v.v..arg1.np..arg2.pp.	arg0.np..v.v..arg1.np..arg2.rb.	arg0.np..v.v..arg1.np..arg2.rbr.	arg0.np..v.v..arg1.np..arg2.rp.	arg0.np..v.v..arg1.np..arg2.s.	arg0.np..v.v..arg1.np..arg2.sbar.	arg0.np..v.v..arg1.np..arg2.to.	arg0.np..v.v..arg1.np..arg2.ucp.	arg0.np..v.v..arg1.np..arg2.v.	arg0.np..v.v..arg1.np..arg2.vp.	arg0.np..v.v..arg1.np..arg2.wdt.	arg0.np..v.v..arg2.c..np....np....arg1.np.	arg0.np..v.v..arg2.in..arg1.np.	arg0.np..v.v..arg2.jj..arg1.np.	arg0.np..v.v..arg2.nnp..arg1.np.	arg0.np..v.v..arg2.np..arg1.c..np....qp...	arg0.np..v.v..arg2.np..arg1.np.	arg0.np..v.v..arg2.pp..arg1.c..np....qp...	arg0.np..v.v..arg2.pp..arg1.np.	arg0.np..v.v..arg2.prp..arg1.np.	arg0.np..v.v..arg2.rb..arg1.np.	arg0.np..v.v..arg2.rp..arg1.c..np....qp...	arg0.np..v.v..arg2.rp..arg1.np.	arg0.np..v.v..arg2.to..arg1.np.	arg0.np..v.v..arg2.v..arg1.np.	arg1.c..np....np....arg0.np..v.v..arg2.pp.	arg1.np..arg0.np..v.v..arg2.advp.	arg1.np..arg0.np..v.v..arg2.c..s....np...	arg1.np..arg0.np..v.v..arg2.c..s....vp...	arg1.np..arg0.np..v.v..arg2.np.	arg1.np..arg0.np..v.v..arg2.pp.	arg1.np..arg0.np..v.v..arg2.prp.	arg1.np..arg0.np..v.v..arg2.rb.	arg1.np..arg0.np..v.v..arg2.rp.	arg1.np..arg0.np..v.v..arg2.s.	arg2.adjp..arg0.np..v.v..arg1.np.	arg2.advp..arg0.np..v.v..arg1.np.	arg2.c..s....vp....arg0.np..v.v..arg1.np.	arg2.nn..arg0.np..v.v..arg1.np.	arg2.np..arg0.np..v.v..arg1.np.	arg2.np..v.v..arg0.np..arg1.np.	arg2.pp..arg0.np..v.v..arg1.np.	arg2.pp..v.v..arg0.np..arg1.np.	arg2.wdt..arg0.np..v.v..arg1.np.	arg2.whnp..arg0.np..v.v..arg1.np.	arg2.wp..arg0.np..v.v..arg1.c..s....np...	arg2.wp..arg0.np..v.v..arg1.np.	arg2.wrb..arg0.np..v.v..arg1.np.	v.v..arg1.c..np....qp....arg2.pp..arg0.np.	v.v..arg1.np..arg2.c..s....vp....arg0.np.	v.v..arg1.np..arg2.pp..arg0.np.	v.v..arg1.np..arg2.rb..arg0.np.	v.v..arg2.np..arg1.np..arg0.np.	v.v..arg2.rp..arg1.np..arg0.np.	SUMABSDEV	LARGESTPREF
owe	-0.0566774679022661	-0.0566774679022661	7.76376594680952	-0.0566774679022661	-0.0566774679022661	-0.0566774679022661	-0.0566774679022661	-0.0566774679022661	-0.0566774679022661	-0.160308087576701	-0.098168254051079	-0.138830876273524	-0.37165901148221	-0.0566774679022661	-0.0566774679022661	-0.098168254051079	-0.170032403706798	-0.0566774679022661	-0.0566774679022661	2.43125346574817	-0.240462131365051	-0.543631174454465	-0.0566774679022661	-1.54283521723773	-0.253469342044059	-0.294504762153237	-0.0566774679022661	-0.149954485010242	-0.179229890582246	-0.299908970020483	-0.0801540437883504	-0.0566774679022661	-0.852049172950483	-2.06041490300655	-0.580771223133776	-0.113354935804532	-0.362912868441322	-0.344755578068084	-0.5971341774067	-0.098168254051079	-0.0801540437883504	-0.212067666440157	-1.00592526604162	-0.0566774679022661	-0.0566774679022661	-0.160308087576701	-0.0801540437883504	-0.0566774679022661	7.06417775438446	5.24385481884627	-0.0566774679022661	-0.675389977886377	-0.126734671022029	-0.320616175153402	-0.098168254051079	-0.602489748097676	-0.0566774679022661	-0.0566774679022661	-0.0566774679022661	-0.0566774679022661	-0.126734671022029	-0.149954485010242	5.85130157261131	-0.594438298277764	-0.0566774679022661	-0.0566774679022661	-0.0566774679022661	-0.0801540437883504	-0.0566774679022661	-0.0566774679022661	-0.149954485010242	-0.0566774679022661	-0.196336508102158	-0.0801540437883504	-0.344755578068084	-0.0566774679022661	-0.113354935804532	-0.0566774679022661	-0.098168254051079	-0.204353516685085	-0.277661752547047	-0.0566774679022661	-0.098168254051079	-0.375955790198456	-0.0566774679022661	-0.126734671022029	-0.0566774679022661	46.2911527050088	arg0(c("np", "np"))-v(v)-arg1(np)-arg2(pp)
restore	-0.0327227513503597	-0.0327227513503597	13.5935776708076	-0.0327227513503597	-0.0327227513503597	-0.0327227513503597	-0.0327227513503597	-0.0327227513503597	-0.0327227513503597	-0.0925539175156824	-0.0566774679022661	-0.0801540437883504	-0.214577430326004	-0.0327227513503597	-0.0327227513503597	-0.0566774679022661	-0.098168254051079	-0.0327227513503597	-0.0327227513503597	-0.206956851148974	-0.138830876273524	-0.313865604911158	-0.0327227513503597	-0.890756327987437	-0.146340592860455	-0.170032403706798	-0.0327227513503597	-0.0865762622868547	-0.103478425574487	-0.173152524573709	-0.0462769587578412	-0.0327227513503597	-0.491930819365759	0.871320819736153	-0.335308422013874	-0.0654455027007194	-0.209527842286977	-0.199044725802233	-0.344755578068084	-0.0566774679022661	-0.0462769587578412	-0.12243732430564	-0.580771223133776	-0.0327227513503597	-0.0327227513503597	-0.0925539175156824	-0.0462769587578412	-0.0327227513503597	-0.0801540437883504	-1.12406342259065	-0.0327227513503597	2.1745829724624	-0.0731702964302273	-0.185107835031365	-0.0566774679022661	-0.347847618248183	-0.0327227513503597	-0.0327227513503597	-0.0327227513503597	-0.0327227513503597	-0.0731702964302273	-0.0865762622868547	-0.356963074079881	-0.34319911152729	-0.0327227513503597	-0.0327227513503597	-0.0327227513503597	-0.0462769587578412	-0.0327227513503597	-0.0327227513503597	-0.0865762622868547	-0.0327227513503597	-0.113354935804532	-0.0462769587578412	-0.199044725802233	-0.0327227513503597	-0.0654455027007194	-0.0327227513503597	-0.0566774679022661	-0.11798355786798	-0.160308087576701	-0.0327227513503597	-0.0566774679022661	-0.217058176674477	-0.0327227513503597	-0.0731702964302273	-0.0327227513503597	27.1839169858752	arg0(c("np", "np"))-v(v)-arg1(np)-arg2(pp)
link	-0.0462769587578412	-0.0462769587578412	9.56037173882686	-0.0462769587578412	-0.0462769587578412	-0.0462769587578412	-0.0462769587578412	-0.0462769587578412	-0.0462769587578412	-0.130891005401439	-0.0801540437883504	-0.113354935804532	-0.303458312146203	-0.0462769587578412	-0.0462769587578412	-0.0801540437883504	-0.138830876273524	-0.0462769587578412	-0.0462769587578412	-0.292681185720909	-0.196336508102158	-0.443872995227795	-0.0462769587578412	-1.25971967980949	-0.206956851148974	-0.240462131365051	-0.0462769587578412	-0.12243732430564	-0.146340592860455	-0.244874648611281	-0.0654455027007194	-0.0462769587578412	-0.695695236496366	2.1066003536628	-0.474197717989941	-0.0925539175156824	-0.296317116257013	-0.281491750748352	-0.487558014207661	-0.0801540437883504	-0.0654455027007194	-0.173152524573709	-0.821334540391797	-0.0462769587578412	-0.0462769587578412	-0.130891005401439	-0.0654455027007194	-0.0462769587578412	-0.113354935804532	-1.58966573719522	-0.0462769587578412	-0.551453607737079	-0.103478425574487	-0.261782010802877	-0.0801540437883504	-0.491930819365759	-0.0462769587578412	-0.0462769587578412	-0.0462769587578412	-0.0462769587578412	-0.103478425574487	-0.12243732430564	-0.504822020630159	-0.48535683811629	-0.0462769587578412	-0.0462769587578412	-0.0462769587578412	-0.0654455027007194	-0.0462769587578412	-0.0462769587578412	-0.12243732430564	-0.0462769587578412	-0.160308087576701	-0.0654455027007194	-0.281491750748352	-0.0462769587578412	-0.0925539175156824	-0.0462769587578412	-0.0801540437883504	-0.166853947673929	-0.226709871609064	-0.0462769587578412	-0.0801540437883504	-0.306966617277021	-0.0462769587578412	-0.103478425574487	-0.0462769587578412	27.1305094242368	arg0(c("np", "np"))-v(v)-arg1(np)-arg2(pp)
convict	-0.0327227513503597	-0.0327227513503597	13.5935776708076	-0.0327227513503597	-0.0327227513503597	-0.0327227513503597	-0.0327227513503597	-0.0327227513503597	-0.0327227513503597	-0.0925539175156824	-0.0566774679022661	-0.0801540437883504	-0.214577430326004	-0.0327227513503597	-0.0327227513503597	-0.0566774679022661	-0.098168254051079	-0.0327227513503597	-0.0327227513503597	-0.206956851148974	-0.138830876273524	-0.313865604911158	-0.0327227513503597	-0.890756327987437	-0.146340592860455	-0.170032403706798	-0.0327227513503597	-0.0865762622868547	-0.103478425574487	-0.173152524573709	-0.0462769587578412	-0.0327227513503597	-0.491930819365759	1.28350120346201	-0.335308422013874	-0.0654455027007194	-0.209527842286977	-0.199044725802233	-0.344755578068084	-0.0566774679022661	-0.0462769587578412	-0.12243732430564	-0.580771223133776	-0.0327227513503597	-0.0327227513503597	-0.0925539175156824	-0.0462769587578412	-0.0327227513503597	-0.0801540437883504	-1.12406342259065	-0.0327227513503597	-0.389936585540675	-0.0731702964302273	-0.185107835031365	-0.0566774679022661	-0.347847618248183	-0.0327227513503597	-0.0327227513503597	-0.0327227513503597	-0.0327227513503597	-0.0731702964302273	-0.0865762622868547	-0.356963074079881	-0.34319911152729	-0.0327227513503597	-0.0327227513503597	-0.0327227513503597	-0.0462769587578412	-0.0327227513503597	-0.0327227513503597	-0.0865762622868547	-0.0327227513503597	-0.113354935804532	-0.0462769587578412	-0.199044725802233	-0.0327227513503597	-0.0654455027007194	-0.0327227513503597	-0.0566774679022661	-0.11798355786798	-0.160308087576701	-0.0327227513503597	-0.0566774679022661	-0.217058176674477	-0.0327227513503597	-0.0731702964302273	-0.0327227513503597	25.8114509826794	arg0(c("np", "np"))-v(v)-arg1(np)-arg2(pp)
enlarge	-0.0103478425574487	-0.0103478425574487	-0.0231384793789206	-0.0103478425574487	96.6281538014561	-0.0103478425574487	-0.0103478425574487	-0.0103478425574487	-0.0103478425574487	-0.0292681185720909	-0.0179229890582246	-0.0253469342044059	-0.0678553414296259	-0.0103478425574487	-0.0103478425574487	-0.0179229890582246	-0.0310435276723461	-0.0103478425574487	-0.0103478425574487	-0.0654455027007194	-0.0439021778581364	-0.0992530190705789	-0.0103478425574487	-0.281681883664829	-0.0462769587578412	-0.0537689671746739	-0.0103478425574487	-0.0273778180130599	-0.0327227513503597	-0.0547556360261198	-0.0146340592860455	-0.0103478425574487	-0.155562184042867	-0.767207219223611	-0.106033833220078	-0.0206956851148974	-0.0662585214847389	-0.0629434689778743	-0.109021286274314	-0.0179229890582246	-0.0146340592860455	-0.0387180815422517	-0.18365598645846	-0.0103478425574487	-0.0103478425574487	-0.0292681185720909	-0.0146340592860455	-0.0103478425574487	-0.0253469342044059	-0.355460064987083	-0.0103478425574487	-0.123308775333761	-0.0231384793789206	-0.0585362371441818	-0.0179229890582246	-0.109999075232901	-0.0103478425574487	-0.0103478425574487	-0.0103478425574487	-0.0103478425574487	-0.0231384793789206	-0.0273778180130599	-0.112881635466784	-0.108529088337239	-0.0103478425574487	-0.0103478425574487	-0.0103478425574487	-0.0146340592860455	-0.0103478425574487	-0.0103478425574487	-0.0273778180130599	-0.0103478425574487	-0.0358459781164493	-0.0146340592860455	-0.0629434689778743	-0.0103478425574487	-0.0206956851148974	-0.0103478425574487	-0.0179229890582246	-0.0373096769313097	-0.0506938684088117	-0.0103478425574487	-0.0179229890582246	-0.068639822305458	-0.0103478425574487	-0.0231384793789206	-0.0103478425574487	100.86590372214	arg0(c("np", "np"))-v(v)-arg2(pp)-arg1(np)
leave	-0.0908019499279531	-0.0908019499279531	-0.203039332528435	-0.0908019499279531	-0.0908019499279531	10.9221774056195	-0.0908019499279531	-0.0908019499279531	-0.0908019499279531	-0.256826698156068	-0.15727359070154	-0.222418444973233	-0.595428204539301	-0.0908019499279531	-0.0908019499279531	-0.15727359070154	3.39858726873196	10.9221774056195	-0.0908019499279531	-0.574281955513787	2.21054408055758	2.57360569833148	-0.0908019499279531	-1.66260468644464	-0.40607866505687	-0.47182077210462	-0.0908019499279531	-0.240239378069103	-0.287140977756894	1.60077871305229	-0.128413349078034	-0.0908019499279531	0.100092354298437	-0.642096541412848	6.59285403915675	-0.181603899855906	-0.58141616638984	-0.552326698699768	-0.956657904524785	-0.15727359070154	-0.128413349078034	5.5469352927576	3.35251398440404	-0.0908019499279531	-0.0908019499279531	-0.256826698156068	-0.128413349078034	-0.0908019499279531	-0.222418444973233	-1.83674851538233	-0.0908019499279531	-1.08203011220669	-0.203039332528435	1.43318469953163	-0.15727359070154	-0.965237967814771	-0.0908019499279531	-0.0908019499279531	-0.0908019499279531	-0.0908019499279531	-0.203039332528435	-0.240239378069103	-0.990532331211607	0.0977074960094503	-0.0908019499279531	-0.0908019499279531	-0.0908019499279531	-0.128413349078034	-0.0908019499279531	-0.0908019499279531	-0.240239378069103	-0.0908019499279531	-0.31454718140308	-0.128413349078034	-0.552326698699768	-0.0908019499279531	-0.181603899855906	-0.0908019499279531	-0.15727359070154	-0.327391086377348	-0.444836889946465	-0.0908019499279531	-0.15727359070154	1.05795711036181	-0.0908019499279531	-0.203039332528435	-0.0908019499279531	70.3985631415028	arg0(c("np", "np", "qp"))-v(v)-arg1(np)-arg2(pp)
blame	-0.0629434689778743	-0.0629434689778743	-0.140745875374176	-0.0629434689778743	-0.0629434689778743	-0.0629434689778743	-0.0629434689778743	-0.0629434689778743	-0.0629434689778743	5.43896779894599	-0.109021286274314	-0.154179381636494	-0.412747928328721	-0.0629434689778743	-0.0629434689778743	-0.109021286274314	-0.188830406933623	-0.0629434689778743	-0.0629434689778743	-0.398089451604467	-0.26704652247396	-0.603732545421492	-0.0629434689778743	-1.71340400742024	-0.281491750748352	-0.327063858822941	-0.0629434689778743	-0.166532765571164	-0.199044725802233	-0.333065531142329	-0.08901550749132	-0.0629434689778743	-0.946247824227305	2.83314390171313	-0.644978627654983	-0.125886937955749	-0.40303485180033	-0.382870174625602	-0.663150595154311	-0.109021286274314	-0.08901550749132	-0.23551289565024	-1.11713575289448	-0.0629434689778743	-0.0629434689778743	-0.17803101498264	-0.08901550749132	-0.0629434689778743	-0.154179381636494	-2.1621791643208	-0.0629434689778743	-0.750057998257165	-0.140745875374176	-0.35606202996528	-0.109021286274314	-0.669098253194144	-0.0629434689778743	-0.0629434689778743	-0.0629434689778743	-0.0629434689778743	-0.140745875374176	-0.166532765571164	-0.686632182576135	0.854635259137571	-0.0629434689778743	-0.0629434689778743	-0.0629434689778743	-0.08901550749132	-0.0629434689778743	-0.0629434689778743	-0.166532765571164	-0.0629434689778743	-0.218042572548628	-0.08901550749132	-0.382870174625602	-0.0629434689778743	-0.125886937955749	-0.0629434689778743	-0.109021286274314	-0.226945904855303	-0.308358763272989	-0.0629434689778743	-0.109021286274314	-0.417519739205968	-0.0629434689778743	-0.140745875374176	-0.0629434689778743	29.4619898460518	arg0(np)-arg1(np)-v(v)-arg2(pp)
indict	-0.0231384793789206	-0.0231384793789206	-0.0517392127872436	-0.0231384793789206	-0.0231384793789206	-0.0231384793789206	-0.0231384793789206	-0.0231384793789206	-0.0231384793789206	15.2144432403497	-0.0400770218941752	-0.0566774679022661	-0.151729156073101	-0.0231384793789206	-0.0231384793789206	-0.0400770218941752	-0.0694154381367618	-0.0231384793789206	-0.0231384793789206	-0.146340592860455	-0.098168254051079	-0.221936497613897	-0.0231384793789206	-0.629859839904745	-0.103478425574487	-0.120231065682526	-0.0231384793789206	-0.0612186621528201	-0.0731702964302273	-0.12243732430564	-0.0327227513503597	-0.0231384793789206	-0.347847618248183	0.616116860224455	-0.237098858994971	-0.0462769587578412	-0.148158558128507	-0.140745875374176	-0.24377900710383	-0.0400770218941752	-0.0327227513503597	-0.0865762622868547	-0.410667270195898	-0.0231384793789206	-0.0231384793789206	-0.0654455027007194	-0.0327227513503597	-0.0231384793789206	-0.0566774679022661	-0.79483286859761	-0.0231384793789206	-0.27572680386854	-0.0517392127872436	-0.130891005401439	-0.0400770218941752	-0.24596540968288	-0.0231384793789206	-0.0231384793789206	-0.0231384793789206	-0.0231384793789206	-0.0517392127872436	-0.0612186621528201	-0.25241101031508	-0.242678419058145	-0.0231384793789206	-0.0231384793789206	-0.0231384793789206	-0.0327227513503597	-0.0231384793789206	-0.0231384793789206	-0.0612186621528201	-0.0231384793789206	-0.0801540437883504	-0.0327227513503597	-0.140745875374176	-0.0231384793789206	-0.0462769587578412	-0.0231384793789206	-0.0400770218941752	-0.0834269738369643	-0.113354935804532	-0.0231384793789206	-0.0400770218941752	-0.15348330863851	-0.0231384793789206	-0.0517392127872436	-0.0231384793789206	23.5486224765343	arg0(np)-arg1(np)-v(v)-arg2(pp)
beat	-0.0426652478616226	-0.0426652478616226	-0.0954023944954657	-0.0426652478616226	-0.0426652478616226	-0.0426652478616226	-0.0426652478616226	-0.0426652478616226	-0.0426652478616226	-0.120675544335833	13.4581985432282	-0.104508087010347	-0.279774739976698	-0.0426652478616226	-0.0426652478616226	-0.0738983770138498	-0.127995743584868	-0.0426652478616226	-0.0426652478616226	-0.269838720356712	-0.181013316503749	-0.409230681289441	-0.0426652478616226	-1.16140415917304	-0.190804788990931	-0.221695131041549	-0.0426652478616226	-0.112881635466784	-0.134919360178356	-0.225763270933567	-0.0603377721679164	-0.0426652478616226	-0.641399316160514	-0.318125090928668	-0.43718869425551	-0.0853304957232452	7.04769764913651	-0.259522571038564	-0.449506278749697	-0.0738983770138498	-0.0603377721679164	-0.159638739819981	-0.757233030945239	-0.0426652478616226	-0.0426652478616226	-0.120675544335833	-0.0603377721679164	-0.0426652478616226	-0.104508087010347	-1.46559939363066	-0.0426652478616226	1.45848160893604	-0.0954023944954657	3.90199048688842	-0.0738983770138498	6.161125758933	-0.0426652478616226	-0.0426652478616226	-0.0426652478616226	-0.0426652478616226	-0.0954023944954657	-0.112881635466784	-0.465422906222018	-0.447476894666424	-0.0426652478616226	-0.0426652478616226	-0.0426652478616226	-0.0603377721679164	-0.0426652478616226	-0.0426652478616226	-0.112881635466784	-0.0426652478616226	-0.1477967540277	-0.0603377721679164	-0.259522571038564	-0.0426652478616226	-0.0853304957232452	-0.0426652478616226	-0.0738983770138498	-0.153831738845461	-0.209016174020693	-0.0426652478616226	-0.0738983770138498	-0.283009237489031	-0.0426652478616226	-0.0954023944954657	-0.0426652478616226	45.1473052627148	arg0(np)-arg2(np)-v(v)-arg1(np)
finance	-0.0146340592860455	-0.0146340592860455	-0.0327227513503597	-0.0146340592860455	-0.0146340592860455	-0.0146340592860455	-0.0146340592860455	-0.0146340592860455	-0.0146340592860455	-0.0413913702297948	39.4271561549533	-0.0358459781164493	-0.0959619441292339	-0.0146340592860455	-0.0146340592860455	-0.0253469342044059	-0.0439021778581364	-0.0146340592860455	-0.0146340592860455	-0.0925539175156824	-0.0620870553446923	-0.140364965676088	-0.0146340592860455	-0.398358340153602	-0.0654455027007194	-0.0760408026132176	-0.0146340592860455	-0.0387180815422517	-0.0462769587578412	-0.0774361630845034	-0.0206956851148974	-0.0146340592860455	-0.219998150465802	-0.163331497573607	-0.149954485010242	-0.0292681185720909	-0.0937036997065069	-0.08901550749132	-0.154179381636494	-0.0253469342044059	-0.0206956851148974	-0.0547556360261198	-0.259728786860564	-0.0146340592860455	-0.0146340592860455	-0.0413913702297948	-0.0206956851148974	-0.0146340592860455	-0.0358459781164493	-0.502696444786754	-0.0146340592860455	-0.174384942436622	-0.0327227513503597	-0.0827827404595897	-0.0253469342044059	-0.155562184042867	-0.0146340592860455	-0.0146340592860455	-0.0146340592860455	-0.0146340592860455	-0.0327227513503597	-0.0387180815422517	-0.159638739819981	-0.15348330863851	-0.0146340592860455	-0.0146340592860455	-0.0146340592860455	-0.0206956851148974	-0.0146340592860455	-0.0146340592860455	-0.0387180815422517	-0.0146340592860455	-0.0506938684088117	-0.0206956851148974	-0.08901550749132	-0.0146340592860455	-0.0292681185720909	-0.0146340592860455	-0.0253469342044059	-0.0527638511240168	-0.0716919562328985	-0.0146340592860455	-0.0253469342044059	-0.097071367623258	-0.0146340592860455	-0.0327227513503597	-0.0146340592860455	44.4878633348092	arg0(np)-arg2(np)-v(v)-arg1(np)
