COLLOCATE	arg0.c..np....np....v.v..arg1.np..arg2.c..s....vp...	arg0.c..np....np....v.v..arg1.np..arg2.np.	arg0.c..np....np....v.v..arg1.np..arg2.pp.	arg0.c..np....np....v.v..arg1.np..arg2.vp.	arg0.c..np....np....v.v..arg2.pp..arg1.np.	arg0.c..np....np....qp....v.v..arg1.np..arg2.pp.	arg0.np..arg1.c..np....np....qp....v.v..arg2.pp.	arg0.np..arg1.c..np....qp....v.v..arg2.pp.	arg0.np..arg1.np..v.v..arg2.np.	arg0.np..arg1.np..v.v..arg2.pp.	arg0.np..arg2.np..v.v..arg1.np.	arg0.np..arg2.pp..v.v..arg1.np.	arg0.np..arg2.rb..v.v..arg1.np.	arg0.np..arg2.rbr..v.v..arg1.np.	arg0.np..arg2.whadvp..v.v..arg1.np.	arg0.np..arg2.wrb..v.v..arg1.np.	arg0.np..v.v..arg1.c..np....np....arg2.pp.	arg0.np..v.v..arg1.c..np....np....arg2.rb.	arg0.np..v.v..arg1.c..np....qp....arg2.c..s....vp...	arg0.np..v.v..arg1.c..np....qp....arg2.pp.	arg0.np..v.v..arg1.np..arg2.adjp.	arg0.np..v.v..arg1.np..arg2.advp.	arg0.np..v.v..arg1.np..arg2.c..np....qp...	arg0.np..v.v..arg1.np..arg2.c..s....vp...	arg0.np..v.v..arg1.np..arg2.c..sbar....s...	arg0.np..v.v..arg1.np..arg2.c..sbar....s....vp...	arg0.np..v.v..arg1.np..arg2.cd.	arg0.np..v.v..arg1.np..arg2.dt.	arg0.np..v.v..arg1.np..arg2.in.	arg0.np..v.v..arg1.np..arg2.jj.	arg0.np..v.v..arg1.np..arg2.jjr.	arg0.np..v.v..arg1.np..arg2.nn.	arg0.np..v.v..arg1.np..arg2.np.	arg0.np..v.v..arg1.np..arg2.pp.	arg0.np..v.v..arg1.np..arg2.rb.	arg0.np..v.v..arg1.np..arg2.rbr.	arg0.np..v.v..arg1.np..arg2.rp.	arg0.np..v.v..arg1.np..arg2.s.	arg0.np..v.v..arg1.np..arg2.sbar.	arg0.np..v.v..arg1.np..arg2.to.	arg0.np..v.v..arg1.np..arg2.ucp.	arg0.np..v.v..arg1.np..arg2.v.	arg0.np..v.v..arg1.np..arg2.vp.	arg0.np..v.v..arg1.np..arg2.wdt.	arg0.np..v.v..arg2.c..np....np....arg1.np.	arg0.np..v.v..arg2.in..arg1.np.	arg0.np..v.v..arg2.jj..arg1.np.	arg0.np..v.v..arg2.nnp..arg1.np.	arg0.np..v.v..arg2.np..arg1.c..np....qp...	arg0.np..v.v..arg2.np..arg1.np.	arg0.np..v.v..arg2.pp..arg1.c..np....qp...	arg0.np..v.v..arg2.pp..arg1.np.	arg0.np..v.v..arg2.prp..arg1.np.	arg0.np..v.v..arg2.rb..arg1.np.	arg0.np..v.v..arg2.rp..arg1.c..np....qp...	arg0.np..v.v..arg2.rp..arg1.np.	arg0.np..v.v..arg2.to..arg1.np.	arg0.np..v.v..arg2.v..arg1.np.	arg1.c..np....np....arg0.np..v.v..arg2.pp.	arg1.np..arg0.np..v.v..arg2.advp.	arg1.np..arg0.np..v.v..arg2.c..s....np...	arg1.np..arg0.np..v.v..arg2.c..s....vp...	arg1.np..arg0.np..v.v..arg2.np.	arg1.np..arg0.np..v.v..arg2.pp.	arg1.np..arg0.np..v.v..arg2.prp.	arg1.np..arg0.np..v.v..arg2.rb.	arg1.np..arg0.np..v.v..arg2.rp.	arg1.np..arg0.np..v.v..arg2.s.	arg2.adjp..arg0.np..v.v..arg1.np.	arg2.advp..arg0.np..v.v..arg1.np.	arg2.c..s....vp....arg0.np..v.v..arg1.np.	arg2.nn..arg0.np..v.v..arg1.np.	arg2.np..arg0.np..v.v..arg1.np.	arg2.np..v.v..arg0.np..arg1.np.	arg2.pp..arg0.np..v.v..arg1.np.	arg2.pp..v.v..arg0.np..arg1.np.	arg2.wdt..arg0.np..v.v..arg1.np.	arg2.whnp..arg0.np..v.v..arg1.np.	arg2.wp..arg0.np..v.v..arg1.c..s....np...	arg2.wp..arg0.np..v.v..arg1.np.	arg2.wrb..arg0.np..v.v..arg1.np.	v.v..arg1.c..np....qp....arg2.pp..arg0.np.	v.v..arg1.np..arg2.c..s....vp....arg0.np.	v.v..arg1.np..arg2.pp..arg0.np.	v.v..arg1.np..arg2.rb..arg0.np.	v.v..arg2.np..arg1.np..arg0.np.	v.v..arg2.rp..arg1.np..arg0.np.	SUMABSDEV	LARGESTPREF
owe.01	-0.0566774679022661	-0.0566774679022661	7.76376594680952	-0.0566774679022661	-0.0566774679022661	-0.0566774679022661	-0.0566774679022661	-0.0566774679022661	-0.0566774679022661	-0.160308087576701	-0.098168254051079	-0.138830876273524	-0.37165901148221	-0.0566774679022661	-0.0566774679022661	-0.098168254051079	-0.170032403706798	-0.0566774679022661	-0.0566774679022661	2.43125346574817	-0.240462131365051	-0.543631174454465	-0.0566774679022661	-1.54283521723773	-0.253469342044059	-0.294504762153237	-0.0566774679022661	-0.149954485010242	-0.179229890582246	-0.299908970020483	-0.0801540437883504	-0.0566774679022661	-0.852049172950483	-2.06041490300655	-0.580771223133776	-0.113354935804532	-0.362912868441322	-0.344755578068084	-0.5971341774067	-0.098168254051079	-0.0801540437883504	-0.212067666440157	-1.00592526604162	-0.0566774679022661	-0.0566774679022661	-0.160308087576701	-0.0801540437883504	-0.0566774679022661	7.06417775438446	5.24385481884627	-0.0566774679022661	-0.675389977886377	-0.126734671022029	-0.320616175153402	-0.098168254051079	-0.602489748097676	-0.0566774679022661	-0.0566774679022661	-0.0566774679022661	-0.0566774679022661	-0.126734671022029	-0.149954485010242	5.85130157261131	-0.594438298277764	-0.0566774679022661	-0.0566774679022661	-0.0566774679022661	-0.0801540437883504	-0.0566774679022661	-0.0566774679022661	-0.149954485010242	-0.0566774679022661	-0.196336508102158	-0.0801540437883504	-0.344755578068084	-0.0566774679022661	-0.113354935804532	-0.0566774679022661	-0.098168254051079	-0.204353516685085	-0.277661752547047	-0.0566774679022661	-0.098168254051079	-0.375955790198456	-0.0566774679022661	-0.126734671022029	-0.0566774679022661	46.2911527050088	arg0(c("np", "np"))-v(v)-arg1(np)-arg2(pp)
restore.01	-0.0310435276723461	-0.0310435276723461	14.3366018231792	-0.0310435276723461	-0.0310435276723461	-0.0310435276723461	-0.0310435276723461	-0.0310435276723461	-0.0310435276723461	-0.0878043557162728	-0.0537689671746739	-0.0760408026132176	-0.203566024288878	-0.0310435276723461	-0.0310435276723461	-0.0537689671746739	-0.0931305830170384	-0.0310435276723461	-0.0310435276723461	-0.196336508102158	-0.131706533574409	-0.297759057211737	-0.0310435276723461	-0.845045650994487	-0.138830876273524	-0.161306901524022	-0.0310435276723461	-0.0821334540391797	-0.098168254051079	-0.164266908078359	-0.0439021778581364	-0.0310435276723461	-0.4666865521286	0.739712254299643	-0.318101499660235	-0.0620870553446923	-0.198775564454217	-0.188830406933623	-0.327063858822941	-0.0537689671746739	-0.0439021778581364	-0.116154244626755	-0.550967959375381	-0.0310435276723461	-0.0310435276723461	-0.0878043557162728	-0.0439021778581364	-0.0310435276723461	-0.0760408026132176	-1.06638019496125	-0.0310435276723461	2.33331464311139	-0.0694154381367618	-0.175608711432546	-0.0537689671746739	-0.329997225698702	-0.0310435276723461	-0.0310435276723461	-0.0310435276723461	-0.0310435276723461	-0.0694154381367618	-0.0821334540391797	-0.338644906400351	-0.325587265011716	-0.0310435276723461	-0.0310435276723461	-0.0310435276723461	-0.0439021778581364	-0.0310435276723461	-0.0310435276723461	-0.0821334540391797	-0.0310435276723461	-0.107537934349348	-0.0439021778581364	-0.188830406933623	-0.0310435276723461	-0.0620870553446923	-0.0310435276723461	-0.0537689671746739	-0.111929030793929	-0.152081605226435	-0.0310435276723461	-0.0537689671746739	-0.205919466916374	-0.0310435276723461	-0.0694154381367618	-0.0310435276723461	27.4129585885066	arg0(c("np", "np"))-v(v)-arg1(np)-arg2(pp)
link.01	-0.0462769587578412	-0.0462769587578412	9.56037173882686	-0.0462769587578412	-0.0462769587578412	-0.0462769587578412	-0.0462769587578412	-0.0462769587578412	-0.0462769587578412	-0.130891005401439	-0.0801540437883504	-0.113354935804532	-0.303458312146203	-0.0462769587578412	-0.0462769587578412	-0.0801540437883504	-0.138830876273524	-0.0462769587578412	-0.0462769587578412	-0.292681185720909	-0.196336508102158	-0.443872995227795	-0.0462769587578412	-1.25971967980949	-0.206956851148974	-0.240462131365051	-0.0462769587578412	-0.12243732430564	-0.146340592860455	-0.244874648611281	-0.0654455027007194	-0.0462769587578412	-0.695695236496366	2.1066003536628	-0.474197717989941	-0.0925539175156824	-0.296317116257013	-0.281491750748352	-0.487558014207661	-0.0801540437883504	-0.0654455027007194	-0.173152524573709	-0.821334540391797	-0.0462769587578412	-0.0462769587578412	-0.130891005401439	-0.0654455027007194	-0.0462769587578412	-0.113354935804532	-1.58966573719522	-0.0462769587578412	-0.551453607737079	-0.103478425574487	-0.261782010802877	-0.0801540437883504	-0.491930819365759	-0.0462769587578412	-0.0462769587578412	-0.0462769587578412	-0.0462769587578412	-0.103478425574487	-0.12243732430564	-0.504822020630159	-0.48535683811629	-0.0462769587578412	-0.0462769587578412	-0.0462769587578412	-0.0654455027007194	-0.0462769587578412	-0.0462769587578412	-0.12243732430564	-0.0462769587578412	-0.160308087576701	-0.0654455027007194	-0.281491750748352	-0.0462769587578412	-0.0925539175156824	-0.0462769587578412	-0.0801540437883504	-0.166853947673929	-0.226709871609064	-0.0462769587578412	-0.0801540437883504	-0.306966617277021	-0.0462769587578412	-0.103478425574487	-0.0462769587578412	27.1305094242368	arg0(c("np", "np"))-v(v)-arg1(np)-arg2(pp)
convict.01	-0.0327227513503597	-0.0327227513503597	13.5935776708076	-0.0327227513503597	-0.0327227513503597	-0.0327227513503597	-0.0327227513503597	-0.0327227513503597	-0.0327227513503597	-0.0925539175156824	-0.0566774679022661	-0.0801540437883504	-0.214577430326004	-0.0327227513503597	-0.0327227513503597	-0.0566774679022661	-0.098168254051079	-0.0327227513503597	-0.0327227513503597	-0.206956851148974	-0.138830876273524	-0.313865604911158	-0.0327227513503597	-0.890756327987437	-0.146340592860455	-0.170032403706798	-0.0327227513503597	-0.0865762622868547	-0.103478425574487	-0.173152524573709	-0.0462769587578412	-0.0327227513503597	-0.491930819365759	1.28350120346201	-0.335308422013874	-0.0654455027007194	-0.209527842286977	-0.199044725802233	-0.344755578068084	-0.0566774679022661	-0.0462769587578412	-0.12243732430564	-0.580771223133776	-0.0327227513503597	-0.0327227513503597	-0.0925539175156824	-0.0462769587578412	-0.0327227513503597	-0.0801540437883504	-1.12406342259065	-0.0327227513503597	-0.389936585540675	-0.0731702964302273	-0.185107835031365	-0.0566774679022661	-0.347847618248183	-0.0327227513503597	-0.0327227513503597	-0.0327227513503597	-0.0327227513503597	-0.0731702964302273	-0.0865762622868547	-0.356963074079881	-0.34319911152729	-0.0327227513503597	-0.0327227513503597	-0.0327227513503597	-0.0462769587578412	-0.0327227513503597	-0.0327227513503597	-0.0865762622868547	-0.0327227513503597	-0.113354935804532	-0.0462769587578412	-0.199044725802233	-0.0327227513503597	-0.0654455027007194	-0.0327227513503597	-0.0566774679022661	-0.11798355786798	-0.160308087576701	-0.0327227513503597	-0.0566774679022661	-0.217058176674477	-0.0327227513503597	-0.0731702964302273	-0.0327227513503597	25.8114509826794	arg0(c("np", "np"))-v(v)-arg1(np)-arg2(pp)
enlarge.01	-0.0103478425574487	-0.0103478425574487	-0.0231384793789206	-0.0103478425574487	96.6281538014561	-0.0103478425574487	-0.0103478425574487	-0.0103478425574487	-0.0103478425574487	-0.0292681185720909	-0.0179229890582246	-0.0253469342044059	-0.0678553414296259	-0.0103478425574487	-0.0103478425574487	-0.0179229890582246	-0.0310435276723461	-0.0103478425574487	-0.0103478425574487	-0.0654455027007194	-0.0439021778581364	-0.0992530190705789	-0.0103478425574487	-0.281681883664829	-0.0462769587578412	-0.0537689671746739	-0.0103478425574487	-0.0273778180130599	-0.0327227513503597	-0.0547556360261198	-0.0146340592860455	-0.0103478425574487	-0.155562184042867	-0.767207219223611	-0.106033833220078	-0.0206956851148974	-0.0662585214847389	-0.0629434689778743	-0.109021286274314	-0.0179229890582246	-0.0146340592860455	-0.0387180815422517	-0.18365598645846	-0.0103478425574487	-0.0103478425574487	-0.0292681185720909	-0.0146340592860455	-0.0103478425574487	-0.0253469342044059	-0.355460064987083	-0.0103478425574487	-0.123308775333761	-0.0231384793789206	-0.0585362371441818	-0.0179229890582246	-0.109999075232901	-0.0103478425574487	-0.0103478425574487	-0.0103478425574487	-0.0103478425574487	-0.0231384793789206	-0.0273778180130599	-0.112881635466784	-0.108529088337239	-0.0103478425574487	-0.0103478425574487	-0.0103478425574487	-0.0146340592860455	-0.0103478425574487	-0.0103478425574487	-0.0273778180130599	-0.0103478425574487	-0.0358459781164493	-0.0146340592860455	-0.0629434689778743	-0.0103478425574487	-0.0206956851148974	-0.0103478425574487	-0.0179229890582246	-0.0373096769313097	-0.0506938684088117	-0.0103478425574487	-0.0179229890582246	-0.068639822305458	-0.0103478425574487	-0.0231384793789206	-0.0103478425574487	100.86590372214	arg0(c("np", "np"))-v(v)-arg2(pp)-arg1(np)
leave.11	-0.0206956851148974	-0.0206956851148974	-0.0462769587578412	-0.0206956851148974	-0.0206956851148974	48.2985551368918	-0.0206956851148974	-0.0206956851148974	-0.0206956851148974	-0.0585362371441818	-0.0358459781164493	-0.0506938684088117	-0.135710682859252	-0.0206956851148974	-0.0206956851148974	-0.0358459781164493	-0.0620870553446923	-0.0206956851148974	-0.0206956851148974	-0.130891005401439	-0.0878043557162728	-0.198506038141158	-0.0206956851148974	-0.563363767329658	-0.0925539175156824	-0.107537934349348	-0.0206956851148974	-0.0547556360261198	-0.0654455027007194	-0.10951127205224	-0.0292681185720909	-0.0206956851148974	-0.311124368085734	0.420728790676655	-0.212067666440157	-0.0413913702297948	-0.132517042969478	-0.125886937955749	-0.218042572548628	-0.0358459781164493	-0.0292681185720909	-0.0774361630845034	-0.367311972916921	-0.0206956851148974	-0.0206956851148974	-0.0585362371441818	-0.0292681185720909	-0.0206956851148974	-0.0506938684088117	-0.710920129974165	-0.0206956851148974	-0.246617550667523	-0.0462769587578412	-0.117072474288364	-0.0358459781164493	-0.219998150465802	-0.0206956851148974	-0.0206956851148974	-0.0206956851148974	-0.0206956851148974	-0.0462769587578412	-0.0547556360261198	-0.225763270933567	-0.217058176674477	-0.0206956851148974	-0.0206956851148974	-0.0206956851148974	-0.0292681185720909	-0.0206956851148974	-0.0206956851148974	-0.0547556360261198	-0.0206956851148974	-0.0716919562328985	-0.0292681185720909	-0.125886937955749	-0.0206956851148974	-0.0413913702297948	-0.0206956851148974	-0.0358459781164493	-0.0746193538626195	-0.101387736817623	-0.0206956851148974	-0.0358459781164493	-0.137279644610916	-0.0206956851148974	-0.0462769587578412	-0.0206956851148974	55.6603693304899	arg0(c("np", "np", "qp"))-v(v)-arg1(np)-arg2(pp)
blame.01	-0.0629434689778743	-0.0629434689778743	-0.140745875374176	-0.0629434689778743	-0.0629434689778743	-0.0629434689778743	-0.0629434689778743	-0.0629434689778743	-0.0629434689778743	5.43896779894599	-0.109021286274314	-0.154179381636494	-0.412747928328721	-0.0629434689778743	-0.0629434689778743	-0.109021286274314	-0.188830406933623	-0.0629434689778743	-0.0629434689778743	-0.398089451604467	-0.26704652247396	-0.603732545421492	-0.0629434689778743	-1.71340400742024	-0.281491750748352	-0.327063858822941	-0.0629434689778743	-0.166532765571164	-0.199044725802233	-0.333065531142329	-0.08901550749132	-0.0629434689778743	-0.946247824227305	2.83314390171313	-0.644978627654983	-0.125886937955749	-0.40303485180033	-0.382870174625602	-0.663150595154311	-0.109021286274314	-0.08901550749132	-0.23551289565024	-1.11713575289448	-0.0629434689778743	-0.0629434689778743	-0.17803101498264	-0.08901550749132	-0.0629434689778743	-0.154179381636494	-2.1621791643208	-0.0629434689778743	-0.750057998257165	-0.140745875374176	-0.35606202996528	-0.109021286274314	-0.669098253194144	-0.0629434689778743	-0.0629434689778743	-0.0629434689778743	-0.0629434689778743	-0.140745875374176	-0.166532765571164	-0.686632182576135	0.854635259137571	-0.0629434689778743	-0.0629434689778743	-0.0629434689778743	-0.08901550749132	-0.0629434689778743	-0.0629434689778743	-0.166532765571164	-0.0629434689778743	-0.218042572548628	-0.08901550749132	-0.382870174625602	-0.0629434689778743	-0.125886937955749	-0.0629434689778743	-0.109021286274314	-0.226945904855303	-0.308358763272989	-0.0629434689778743	-0.109021286274314	-0.417519739205968	-0.0629434689778743	-0.140745875374176	-0.0629434689778743	29.4619898460518	arg0(np)-arg1(np)-v(v)-arg2(pp)
indict.01	-0.0253469342044059	-0.0253469342044059	-0.0566774679022661	-0.0253469342044059	-0.0253469342044059	-0.0253469342044059	-0.0253469342044059	-0.0253469342044059	-0.0253469342044059	13.8768742783304	-0.0439021778581364	-0.0620870553446923	-0.166210962824919	-0.0253469342044059	-0.0253469342044059	-0.0439021778581364	-0.0760408026132176	-0.0253469342044059	-0.0253469342044059	-0.160308087576701	-0.107537934349348	-0.243119252153646	-0.0253469342044059	-0.689976884764843	-0.113354935804532	-0.131706533574409	-0.0253469342044059	-0.0670616844027747	-0.0801540437883504	-0.134123368805549	-0.0358459781164493	-0.0253469342044059	-0.381047974177951	0.781346722261959	-0.259728786860564	-0.0506938684088117	-0.162299568748847	-0.154179381636494	-0.26704652247396	-0.0439021778581364	-0.0358459781164493	-0.0948395435979883	-0.449863455030725	-0.0253469342044059	-0.0253469342044059	-0.0716919562328985	-0.0358459781164493	-0.0253469342044059	-0.0620870553446923	-0.870695783154901	-0.0253469342044059	-0.302043580375204	-0.0566774679022661	-0.143383912465797	-0.0439021778581364	-0.269441606498626	-0.0253469342044059	-0.0253469342044059	-0.0253469342044059	-0.0253469342044059	-0.0566774679022661	-0.0670616844027747	-0.276502408224477	-0.265840888675675	-0.0253469342044059	-0.0253469342044059	-0.0253469342044059	-0.0358459781164493	-0.0253469342044059	-0.0253469342044059	-0.0670616844027747	-0.0253469342044059	-0.0878043557162728	-0.0358459781164493	-0.154179381636494	-0.0253469342044059	-0.0506938684088117	-0.0253469342044059	-0.0439021778581364	-0.0913896709497974	-0.124174110689385	-0.0253469342044059	-0.0439021778581364	-0.168132540683679	-0.0253469342044059	-0.0566774679022661	-0.0253469342044059	23.1129347276829	arg0(np)-arg1(np)-v(v)-arg2(pp)
cover.01	-0.0103478425574487	-0.0103478425574487	-0.0231384793789206	-0.0103478425574487	-0.0103478425574487	-0.0103478425574487	-0.0103478425574487	-0.0103478425574487	-0.0103478425574487	-0.0292681185720909	55.7763419491951	-0.0253469342044059	-0.0678553414296259	-0.0103478425574487	-0.0103478425574487	-0.0179229890582246	-0.0310435276723461	-0.0103478425574487	-0.0103478425574487	-0.0654455027007194	-0.0439021778581364	-0.0992530190705789	-0.0103478425574487	-0.281681883664829	-0.0462769587578412	-0.0537689671746739	-0.0103478425574487	-0.0273778180130599	-0.0327227513503597	-0.0547556360261198	-0.0146340592860455	-0.0103478425574487	-0.155562184042867	-0.767207219223611	-0.106033833220078	-0.0206956851148974	-0.0662585214847389	-0.0629434689778743	-0.109021286274314	-0.0179229890582246	-0.0146340592860455	-0.0387180815422517	-0.18365598645846	-0.0103478425574487	-0.0103478425574487	-0.0292681185720909	-0.0146340592860455	-0.0103478425574487	-0.0253469342044059	-0.355460064987083	-0.0103478425574487	-0.123308775333761	-0.0231384793789206	-0.0585362371441818	-0.0179229890582246	-0.109999075232901	-0.0103478425574487	-0.0103478425574487	-0.0103478425574487	-0.0103478425574487	-0.0231384793789206	-0.0273778180130599	-0.112881635466784	-0.108529088337239	-0.0103478425574487	-0.0103478425574487	-0.0103478425574487	-0.0146340592860455	-0.0103478425574487	-0.0103478425574487	-0.0273778180130599	-0.0103478425574487	-0.0358459781164493	-0.0146340592860455	-0.0629434689778743	-0.0103478425574487	-0.0206956851148974	-0.0103478425574487	-0.0179229890582246	-0.0373096769313097	-0.0506938684088117	-0.0103478425574487	-0.0179229890582246	-0.068639822305458	-0.0103478425574487	-0.0231384793789206	-0.0103478425574487	60.0065167233786	arg0(np)-arg2(np)-v(v)-arg1(np)
finance.01	-0.0146340592860455	-0.0146340592860455	-0.0327227513503597	-0.0146340592860455	-0.0146340592860455	-0.0146340592860455	-0.0146340592860455	-0.0146340592860455	-0.0146340592860455	-0.0413913702297948	39.4271561549533	-0.0358459781164493	-0.0959619441292339	-0.0146340592860455	-0.0146340592860455	-0.0253469342044059	-0.0439021778581364	-0.0146340592860455	-0.0146340592860455	-0.0925539175156824	-0.0620870553446923	-0.140364965676088	-0.0146340592860455	-0.398358340153602	-0.0654455027007194	-0.0760408026132176	-0.0146340592860455	-0.0387180815422517	-0.0462769587578412	-0.0774361630845034	-0.0206956851148974	-0.0146340592860455	-0.219998150465802	-0.163331497573607	-0.149954485010242	-0.0292681185720909	-0.0937036997065069	-0.08901550749132	-0.154179381636494	-0.0253469342044059	-0.0206956851148974	-0.0547556360261198	-0.259728786860564	-0.0146340592860455	-0.0146340592860455	-0.0413913702297948	-0.0206956851148974	-0.0146340592860455	-0.0358459781164493	-0.502696444786754	-0.0146340592860455	-0.174384942436622	-0.0327227513503597	-0.0827827404595897	-0.0253469342044059	-0.155562184042867	-0.0146340592860455	-0.0146340592860455	-0.0146340592860455	-0.0146340592860455	-0.0327227513503597	-0.0387180815422517	-0.159638739819981	-0.15348330863851	-0.0146340592860455	-0.0146340592860455	-0.0146340592860455	-0.0206956851148974	-0.0146340592860455	-0.0146340592860455	-0.0387180815422517	-0.0146340592860455	-0.0506938684088117	-0.0206956851148974	-0.08901550749132	-0.0146340592860455	-0.0292681185720909	-0.0146340592860455	-0.0253469342044059	-0.0527638511240168	-0.0716919562328985	-0.0146340592860455	-0.0253469342044059	-0.097071367623258	-0.0146340592860455	-0.0327227513503597	-0.0146340592860455	44.4878633348092	arg0(np)-arg2(np)-v(v)-arg1(np)
