WORD	arg0.np..v.v..arg1.np..arg2.pp.	arg0.np..v.v..arg2.np..arg1.np.	PREF	LLR	PRES	LOR	MI	DPC2W	DPW2C	FYE
take	213	2	arg0(np)-v(v)-arg1(np)-arg2(pp)	68.4509316292823	2.70560325132645	3.16727968371878	0.267072331491596	0.0370534929684296	0.172994177049369	8.81889778109365
drive	17	1	arg0(np)-v(v)-arg1(np)-arg2(pp)	2.35894082945516	0.566579739460704	1.29677486465125	0.198093400663245	0.00224513833431487	0.121498056097846	0.640384644001995
sell	82	5	arg0(np)-v(v)-arg1(np)-arg2(pp)	11.0643474591225	1.22592344730963	1.26937660196166	0.195164069624573	0.0106799394430861	0.120829190867389	2.35513056038308
extend	32	2	arg0(np)-v(v)-arg1(np)-arg2(pp)	4.1822425967457	0.757688086196003	1.23804268584065	0.193092719604878	0.00412644184963755	0.118505990383509	1.13607667526285
name	16	1	arg0(np)-v(v)-arg1(np)-arg2(pp)	2.08695969070199	0.535766383773451	1.23596777773084	0.193092719604878	0.00206322092481878	0.118203497615262	0.630241556174827
hear	13	1	arg0(np)-v(v)-arg1(np)-arg2(pp)	1.31975141891102	0.434220087642263	1.02778121731656	0.173640356938706	0.00151746869633051	0.105518749597993	0.312106381361026
charge	23	2	arg0(np)-v(v)-arg1(np)-arg2(pp)	1.94563701280502	0.533017400856751	0.906155509980088	0.160261327137506	0.00248918516417275	0.0970895971136501	0.532021494659654
leave	41	4	arg0(np)-v(v)-arg1(np)-arg2(pp)	2.83128874924026	0.649400306177485	0.792680634493808	0.146254469143627	0.00406878328086506	0.0884331859000134	0.776876785078984
deliver	19	2	arg0(np)-v(v)-arg1(np)-arg2(pp)	1.11668692865362	0.411557969383592	0.714369812994981	0.136165651520043	0.0017615155261884	0.0817450778388279	0.3900189275458
do	60	8	arg0(np)-v(v)-arg1(np)-arg2(pp)	1.82255851986725	0.536927351055034	0.480387273533234	0.0999833152133969	0.00413538355281617	0.0596868797450891	0.681787845238457
bring	175	27	arg0(np)-v(v)-arg1(np)-arg2(pp)	2.84383043515873	0.674535550969128	0.339467176650612	0.0735551899357519	0.00895419072961215	0.0444061317328645	0.953403106426726
provide	91	14	arg0(np)-v(v)-arg1(np)-arg2(pp)	1.48123772370446	0.49004905479277	0.337871816975637	0.0741046833877916	0.00469007748448306	0.0440860215053763	0.601208283146983
deal	5	1	arg0(np)-v(v)-arg1(np)-arg2(pp)	0.0042408996069597	0.0271566293208738	0.0708120460836247	0.0175211550214241	6.21294203617998e-05	0.0100684555039224	-2.63733320831622e-16
save	18	4	arg0(np)-v(v)-arg2(np)-arg1(np)	0.00390461412830363	-0.0263230798297145	-0.0347263563047733	-0.00895105633976702	-0.000115317137544978	-0.00510894064613066	-7.7843431758399e-17
lend	18	6	arg0(np)-v(v)-arg2(np)-arg1(np)	0.809748034787393	-0.39562424501948	-0.44189359248227	-0.134481938423626	-0.00181023239178227	-0.07353825341951	0.379971254792154
send	143	49	arg0(np)-v(v)-arg2(np)-arg1(np)	7.60170387540407	-1.19853281080758	-0.483717415814898	-0.144535603087549	-0.0155112341708729	-0.0808058661012594	2.35704544718534
pay	61	27	arg0(np)-v(v)-arg2(np)-arg1(np)	8.94281012299364	-1.34499324806386	-0.735639256832993	-0.248138720219193	-0.011784393952942	-0.131829564425558	2.6721925600144
award	13	7	arg0(np)-v(v)-arg2(np)-arg1(np)	3.43482802328807	-0.854035712600836	-0.923230983622505	-0.340932815891052	-0.00356727706638135	-0.17379450202794	1.15928406118164
write	13	10	arg0(np)-v(v)-arg2(np)-arg1(np)	8.26329800370353	-1.36397558862775	-1.28246674842681	-0.542566677060703	-0.00610964994773729	-0.258948523934606	2.45312522836703
serve	1	1	arg0(np)-v(v)-arg2(np)-arg1(np)	1.08308305685367	-0.503864190465947	-1.53935393336482	-0.719444439144782	-0.000665540217622555	-0.323370786516854	0.491818074917597
singe	1	1	arg0(np)-v(v)-arg2(np)-arg1(np)	1.08308305685367	-0.503864190465947	-1.53935393336482	-0.719444439144782	-0.000665540217622555	-0.323370786516854	0.491818074917597
